VASP,306261,1174999.896,50.9,53.9
CP2K,38456,366479.879,6.4,16.8
CRYSTAL,4538,108499.766,0.8,5
ChemShell,4091,105161.559,0.7,4.8
CASTEP,15039,96080.77,2.5,4.4
AIMS,46248,75300.665,7.7,3.5
LAMMPS,134939,54221.915,22.4,2.5
NWChem,2169,48942.069,0.4,2.2
Unknown,17723,38292.979,2.9,1.8
GROMACS,1073,28272.259,0.2,1.3
Quantum Espresso,1502,26044.842,0.2,1.2
Python,19115,13350.523,3.2,0.6
NAMD,645,10436.58,0.1,0.5
DL_POLY,3045,10160.619,0.5,0.5
CPMD,2372,9051.796,0.4,0.4
PIMAIM,2215,6536.644,0.4,0.3
GAMESS,909,5278.632,0.2,0.2
SIESTA,1451,963.81,0.2,0
ABINIT,79,389.337,0,0
ELK,8,381.451,0,0
AMBER,10,66.467,0,0
